slug,chain,gc_date,entry_date,entry_price_native,exit_30d_price_native,return_30d_native_%,exit_60d_price_native,return_60d_native_%,profitable_30d,profitable_60d
anonymice,ethereum,2023-01-13,2023-01-13 +7d,0.25024864864864865,0.296,18.282357007084837,0.24513076923076926,-2.0451177041379105,True,False
proof-moonbirds,ethereum,2025-06-24,2025-06-24 +7d,0.67,2.195,227.61194029850742,2.88,329.8507462686567,True,True
undeadszombies,ethereum,2025-10-06,2025-10-06 +7d,0.099,0.099997,1.007070707070705,0.0895,-9.595959595959604,True,False
lives-of-asuna,ethereum,2025-10-20,2025-10-20 +7d,0.015799,0.014999,-5.063611620988672,0.02,26.590290524716753,False,True
loot,ethereum,2025-11-20,2025-11-20 +7d,0.06338,0.0849,33.953928684127476,0.098988,56.18176080782581,True,True
gevols,ethereum,2025-11-22,2025-11-22 +7d,0.005,0.0054,8.000000000000004,0.004595,-8.1,True,False
veefriends-series-2,ethereum,2025-11-27,2025-11-27 +7d,0.064779,0.048699,-24.822859259945357,0.0663,2.347983142685121,False,True
ether-capsule,ethereum,2025-11-27,2025-11-27 +7d,0.08,0.07,-12.499999999999993,0.9,1025.0,False,True
murakami-flowers-coin,ethereum,2025-11-28,2025-11-28 +7d,0.01999,0.0243899,22.010505252626302,0.04999,150.07503751875936,True,True
rtfkt-project-animus,ethereum,2025-11-28,2025-11-28 +7d,0.013249,0.005159,-61.06121216695599,0.02421,82.73077213374593,False,True
space-punks-club,ethereum,2025-11-29,2025-11-29 +7d,0.007,0.00343296,-50.95771428571428,0.0164,134.2857142857143,False,True
quirkies-originals,ethereum,2025-12-04,2025-12-04 +7d,0.57,0.56451,-0.9631578947368413,0.8649,51.73684210526317,False,True
fullsend-metacard-nft,ethereum,2025-12-05,2025-12-05 +7d,0.00899,0.02999,233.5928809788654,0.02997,233.37041156840934,True,True
whoopsies,ethereum,2025-12-06,2025-12-06 +7d,0.019,0.0299999,57.894210526315796,0.022,15.789473684210522,True,True
beeple-x-veefriends,ethereum,2025-12-07,2025-12-07 +7d,0.31,0.274999,-11.290645161290325,0.55499799999,79.0316129,False,True
the-wanderers,ethereum,2025-12-09,2025-12-09 +7d,0.0031,0.0037,19.35483870967743,0.00341324,10.104516129032264,True,True
the-empresses-by-damien-hirst,ethereum,2025-12-13,2025-12-13 +7d,0.19,0.28999,52.6263157894737,0.074746,-60.65999999999999,True,False
killergf,ethereum,2025-12-19,2025-12-19 +7d,0.023,0.028586,24.286956521739135,0.02724,18.434782608695656,True,True
re-gens,base,2025-12-20,2025-12-20 +7d,0.02471177,0.04694,89.94997120805188,0.091,268.2455769052561,True,True
rillaz,apechain,2025-12-21,2025-12-21 +7d,21.99999,40.0,81.81826446284748,40.68,84.90917495871588,True,True
drunkees,apechain,2025-12-23,2025-12-23 +7d,5.9,25.0,323.7288135593221,59.0,900.0,True,True
lifinity-flares,solana,2025-12-23,2025-12-23 +7d,10.43,11.6603,11.795781399808243,15.7298,50.8130393096836,True,True
froganas,solana,2025-12-23,2025-12-23 +7d,0.7947,1.169978,47.22259972316598,0.7999,0.654334969170768,True,True
killergf,ethereum,2025-12-25,2025-12-25 +7d,0.023,0.02861,24.39130434782609,0.0223,-3.043478260869562,True,False
decentraland_names,ethereum,2025-12-26,2025-12-26 +7d,0.00179983,0.00257,42.791263619341805,0.0039,116.68713156242532,True,True
